max_depth	min_split	minbucket	cp	ganancia_promedio
4	1000	0.1	-0.9	47608000
4	1000	0.1	-0.8	47608000
4	1000	0.1	-0.7	47608000
4	1000	0.1	-0.6	47608000
4	1000	0.1	-0.5	47608000
4	1000	0.1	-0.4	47608000
4	1000	0.1	-0.3	47608000
4	1000	0.1	-0.2	47608000
4	1000	0.1	-0.1	47608000
4	1000	0.1	0	0
4	1000	0.1	0.1	0
4	1000	0.1	0.2	0
4	1000	0.1	0.3	0
4	1000	0.1	0.4	0
4	1000	0.1	0.5	0
4	1000	0.1	0.6	0
4	1000	0.1	0.7	0
4	1000	0.1	0.8	0
4	1000	0.1	0.9	0
4	1000	0.15	-0.9	48484000
4	1000	0.15	-0.8	48484000
4	1000	0.15	-0.7	48484000
4	1000	0.15	-0.6	48484000
4	1000	0.15	-0.5	48484000
4	1000	0.15	-0.4	48484000
4	1000	0.15	-0.3	48484000
4	1000	0.15	-0.2	48484000
4	1000	0.15	-0.1	48484000
4	1000	0.15	0	0
4	1000	0.15	0.1	0
4	1000	0.15	0.2	0
4	1000	0.15	0.3	0
4	1000	0.15	0.4	0
4	1000	0.15	0.5	0
4	1000	0.15	0.6	0
4	1000	0.15	0.7	0
4	1000	0.15	0.8	0
4	1000	0.15	0.9	0
4	1000	0.2	-0.9	48302000
4	1000	0.2	-0.8	48302000
4	1000	0.2	-0.7	48302000
4	1000	0.2	-0.6	48302000
4	1000	0.2	-0.5	48302000
4	1000	0.2	-0.4	48302000
4	1000	0.2	-0.3	48302000
4	1000	0.2	-0.2	48302000
4	1000	0.2	-0.1	48302000
4	1000	0.2	0	0
4	1000	0.2	0.1	0
4	1000	0.2	0.2	0
4	1000	0.2	0.3	0
4	1000	0.2	0.4	0
4	1000	0.2	0.5	0
4	1000	0.2	0.6	0
4	1000	0.2	0.7	0
4	1000	0.2	0.8	0
4	1000	0.2	0.9	0
4	1000	0.25	-0.9	48210000
4	1000	0.25	-0.8	48210000
4	1000	0.25	-0.7	48210000
4	1000	0.25	-0.6	48210000
4	1000	0.25	-0.5	48210000
4	1000	0.25	-0.4	48210000
4	1000	0.25	-0.3	48210000
4	1000	0.25	-0.2	48210000
4	1000	0.25	-0.1	48210000
4	1000	0.25	0	0
4	1000	0.25	0.1	0
4	1000	0.25	0.2	0
4	1000	0.25	0.3	0
4	1000	0.25	0.4	0
4	1000	0.25	0.5	0
4	1000	0.25	0.6	0
4	1000	0.25	0.7	0
4	1000	0.25	0.8	0
4	1000	0.25	0.9	0
4	1000	0.3	-0.9	47976000
4	1000	0.3	-0.8	47976000
4	1000	0.3	-0.7	47976000
4	1000	0.3	-0.6	47976000
4	1000	0.3	-0.5	47976000
4	1000	0.3	-0.4	47976000
4	1000	0.3	-0.3	47976000
4	1000	0.3	-0.2	47976000
4	1000	0.3	-0.1	47976000
4	1000	0.3	0	0
4	1000	0.3	0.1	0
4	1000	0.3	0.2	0
4	1000	0.3	0.3	0
4	1000	0.3	0.4	0
4	1000	0.3	0.5	0
4	1000	0.3	0.6	0
4	1000	0.3	0.7	0
4	1000	0.3	0.8	0
4	1000	0.3	0.9	0
4	1000	0.35	-0.9	47526000
4	1000	0.35	-0.8	47526000
4	1000	0.35	-0.7	47526000
4	1000	0.35	-0.6	47526000
4	1000	0.35	-0.5	47526000
4	1000	0.35	-0.4	47526000
4	1000	0.35	-0.3	47526000
4	1000	0.35	-0.2	47526000
4	1000	0.35	-0.1	47526000
4	1000	0.35	0	0
4	1000	0.35	0.1	0
4	1000	0.35	0.2	0
4	1000	0.35	0.3	0
4	1000	0.35	0.4	0
4	1000	0.35	0.5	0
4	1000	0.35	0.6	0
4	1000	0.35	0.7	0
4	1000	0.35	0.8	0
4	1000	0.35	0.9	0
4	1000	0.4	-0.9	47548000
4	1000	0.4	-0.8	47548000
4	1000	0.4	-0.7	47548000
4	1000	0.4	-0.6	47548000
4	1000	0.4	-0.5	47548000
4	1000	0.4	-0.4	47548000
4	1000	0.4	-0.3	47548000
4	1000	0.4	-0.2	47548000
4	1000	0.4	-0.1	47548000
4	1000	0.4	0	0
4	1000	0.4	0.1	0
4	1000	0.4	0.2	0
4	1000	0.4	0.3	0
4	1000	0.4	0.4	0
4	1000	0.4	0.5	0
4	1000	0.4	0.6	0
4	1000	0.4	0.7	0
4	1000	0.4	0.8	0
4	1000	0.4	0.9	0
4	1000	0.45	-0.9	47154000
4	1000	0.45	-0.8	47154000
4	1000	0.45	-0.7	47154000
4	1000	0.45	-0.6	47154000
4	1000	0.45	-0.5	47154000
4	1000	0.45	-0.4	47154000
4	1000	0.45	-0.3	47154000
4	1000	0.45	-0.2	47154000
4	1000	0.45	-0.1	47154000
4	1000	0.45	0	0
4	1000	0.45	0.1	0
4	1000	0.45	0.2	0
4	1000	0.45	0.3	0
4	1000	0.45	0.4	0
4	1000	0.45	0.5	0
4	1000	0.45	0.6	0
4	1000	0.45	0.7	0
4	1000	0.45	0.8	0
4	1000	0.45	0.9	0
4	1000	0.5	-0.9	47222000
4	1000	0.5	-0.8	47222000
4	1000	0.5	-0.7	47222000
4	1000	0.5	-0.6	47222000
4	1000	0.5	-0.5	47222000
4	1000	0.5	-0.4	47222000
4	1000	0.5	-0.3	47222000
4	1000	0.5	-0.2	47222000
4	1000	0.5	-0.1	47222000
4	1000	0.5	0	0
4	1000	0.5	0.1	0
4	1000	0.5	0.2	0
4	1000	0.5	0.3	0
4	1000	0.5	0.4	0
4	1000	0.5	0.5	0
4	1000	0.5	0.6	0
4	1000	0.5	0.7	0
4	1000	0.5	0.8	0
4	1000	0.5	0.9	0
4	800	0.1	-0.9	47688000
4	800	0.1	-0.8	47688000
4	800	0.1	-0.7	47688000
4	800	0.1	-0.6	47688000
