max_depth	min_split	minbucket	ganancia_promedio
7	1600	0.05	46020000
7	1600	0.05	46020000
7	1600	0.1	44946000
7	1600	0.15	45942000
7	1600	0.2	46218000
7	1600	0.25	46584000
7	1600	0.3	46828000
7	1600	0.35	47450000
7	1600	0.4	46972000
7	1600	0.45	47710000
7	1600	0.5	47468000
7	1400	0.05	45412000
7	1400	0.1	45490000
7	1400	0.15	46074000
7	1400	0.2	46394000
7	1400	0.25	46922000
7	1400	0.3	46396000
7	1400	0.35	46442000
7	1400	0.4	46824000
7	1400	0.45	47580000
7	1400	0.5	48714000
7	1200	0.05	44668000
7	1200	0.1	45214000
7	1200	0.15	44942000
7	1200	0.2	46176000
7	1200	0.25	45998000
7	1200	0.3	47282000
7	1200	0.35	46554000
7	1200	0.4	46650000
7	1200	0.45	47048000
7	1200	0.5	47448000
7	1000	0.05	44526000
7	1000	0.1	45368000
7	1000	0.15	45288000
7	1000	0.2	46328000
7	1000	0.25	45926000
7	1000	0.3	45944000
7	1000	0.35	46564000
7	1000	0.4	46418000
7	1000	0.45	45800000
7	1000	0.5	46578000
7	800	0.05	45204000
7	800	0.1	44508000
7	800	0.15	44802000
7	800	0.2	44724000
7	800	0.25	46102000
7	800	0.3	45844000
7	800	0.35	46164000
7	800	0.4	46352000
7	800	0.45	47058000
7	800	0.5	47230000
7	600	0.05	45480000
7	600	0.1	44132000
7	600	0.15	45052000
7	600	0.2	44804000
7	600	0.25	45074000
7	600	0.3	43914000
7	600	0.35	46360000
7	600	0.4	46388000
7	600	0.45	45866000
7	600	0.5	45906000
7	400	0.05	44480000
7	400	0.1	45616000
7	400	0.15	44352000
7	400	0.2	44926000
7	400	0.25	45256000
7	400	0.3	44844000
7	400	0.35	44538000
7	400	0.4	45008000
7	400	0.45	44902000
7	400	0.5	46550000
8	1600	0.05	44884000
8	1600	0.1	44334000
8	1600	0.15	45574000
8	1600	0.2	45846000
8	1600	0.25	46376000
8	1600	0.3	46620000
8	1600	0.35	47242000
8	1600	0.4	46754000
8	1600	0.45	47486000
8	1600	0.5	47244000
8	1400	0.05	44214000
8	1400	0.1	44700000
8	1400	0.15	45914000
8	1400	0.2	46202000
8	1400	0.25	46320000
8	1400	0.3	46188000
8	1400	0.35	46234000
8	1400	0.4	46616000
8	1400	0.45	47372000
8	1400	0.5	48490000
8	1200	0.05	43328000
8	1200	0.1	43656000
8	1200	0.15	44142000
8	1200	0.2	44840000
8	1200	0.25	45148000
8	1200	0.3	45566000
8	1200	0.35	45606000
8	1200	0.4	46084000
8	1200	0.45	46382000
8	1200	0.5	46556000
8	1000	0.05	43218000
8	1000	0.1	44316000
8	1000	0.15	44200000
8	1000	0.2	44998000
8	1000	0.25	44596000
8	1000	0.3	45094000
8	1000	0.35	44466000
8	1000	0.4	45014000
8	1000	0.45	45358000
8	1000	0.5	46100000
8	800	0.05	44594000
8	800	0.1	43656000
8	800	0.15	43312000
8	800	0.2	43918000
8	800	0.25	44820000
8	800	0.3	44524000
8	800	0.35	44830000
8	800	0.4	45478000
8	800	0.45	44512000
8	800	0.5	45538000
8	600	0.05	43722000
8	600	0.1	42950000
8	600	0.15	43650000
8	600	0.2	43062000
8	600	0.25	43182000
8	600	0.3	42908000
8	600	0.35	44688000
8	600	0.4	45062000
8	600	0.45	44490000
8	600	0.5	45204000
8	400	0.05	44272000
8	400	0.1	45006000
8	400	0.15	43406000
8	400	0.2	43704000
8	400	0.25	44082000
8	400	0.3	42386000
8	400	0.35	43118000
8	400	0.4	42826000
8	400	0.45	43186000
8	400	0.5	44408000
9	1600	0.05	44312000
9	1600	0.1	43958000
9	1600	0.15	45710000
9	1600	0.2	45816000
9	1600	0.25	46346000
9	1600	0.3	46448000
9	1600	0.35	46924000
9	1600	0.4	46754000
9	1600	0.45	47486000
9	1600	0.5	47244000
9	1400	0.05	43444000
9	1400	0.1	44260000
9	1400	0.15	45274000
9	1400	0.2	46172000
9	1400	0.25	46290000
9	1400	0.3	46158000
9	1400	0.35	46058000
9	1400	0.4	46298000
9	1400	0.45	47372000
9	1400	0.5	48490000
9	1200	0.05	42084000
9	1200	0.1	43048000
9	1200	0.15	43910000
9	1200	0.2	44976000
9	1200	0.25	45118000
9	1200	0.3	45536000
9	1200	0.35	45576000
9	1200	0.4	45912000
9	1200	0.45	46064000
9	1200	0.5	46616000
9	1000	0.05	42340000
9	1000	0.1	43014000
9	1000	0.15	43182000
9	1000	0.2	44672000
9	1000	0.25	44732000
9	1000	0.3	45064000
9	1000	0.35	44786000
9	1000	0.4	44984000
9	1000	0.45	45192000
9	1000	0.5	45920000
9	800	0.05	42190000
9	800	0.1	42712000
9	800	0.15	42332000
9	800	0.2	42668000
9	800	0.25	43950000
9	800	0.3	44660000
9	800	0.35	44800000
9	800	0.4	45172000
9	800	0.45	44484000
9	800	0.5	45008000
9	600	0.05	42764000
9	600	0.1	41742000
9	600	0.15	42626000
9	600	0.2	41712000
9	600	0.25	41482000
9	600	0.3	41672000
9	600	0.35	43230000
9	600	0.4	44598000
9	600	0.45	43374000
9	600	0.5	45128000
9	400	0.05	42842000
9	400	0.1	42818000
9	400	0.15	41968000
9	400	0.2	43052000
9	400	0.25	43058000
9	400	0.3	40700000
9	400	0.35	41208000
9	400	0.4	41622000
9	400	0.45	41038000
9	400	0.5	43118000
10	1600	0.05	43710000
10	1600	0.1	43704000
10	1600	0.15	45514000
10	1600	0.2	45854000
10	1600	0.25	46316000
10	1600	0.3	46448000
10	1600	0.35	46924000
10	1600	0.4	46754000
10	1600	0.45	47486000
10	1600	0.5	47244000
10	1400	0.05	43164000
10	1400	0.1	43458000
10	1400	0.15	45138000
10	1400	0.2	46216000
10	1400	0.25	46306000
10	1400	0.3	46158000
10	1400	0.35	46058000
10	1400	0.4	46298000
10	1400	0.45	47372000
10	1400	0.5	48490000
10	1200	0.05	41602000
10	1200	0.1	42270000
10	1200	0.15	43510000
10	1200	0.2	44780000
10	1200	0.25	45162000
10	1200	0.3	45548000
10	1200	0.35	45576000
10	1200	0.4	45912000
10	1200	0.45	46064000
10	1200	0.5	46616000
10	1000	0.05	42158000
10	1000	0.1	42470000
10	1000	0.15	42366000
10	1000	0.2	44536000
10	1000	0.25	44334000
10	1000	0.3	44998000
10	1000	0.35	44656000
10	1000	0.4	44522000
10	1000	0.45	44862000
10	1000	0.5	45920000
10	800	0.05	41606000
10	800	0.1	41026000
10	800	0.15	41046000
10	800	0.2	42252000
10	800	0.25	43814000
10	800	0.3	44018000
10	800	0.35	44538000
10	800	0.4	44960000
10	800	0.45	43998000
10	800	0.5	44546000
10	600	0.05	42434000
10	600	0.1	40320000
10	600	0.15	40754000
10	600	0.2	40198000
10	600	0.25	40530000
10	600	0.3	41124000
10	600	0.35	42562000
10	600	0.4	43234000
10	600	0.45	42150000
10	600	0.5	44058000
10	400	0.05	43156000
10	400	0.1	42130000
10	400	0.15	40312000
10	400	0.2	40334000
10	400	0.25	41080000
10	400	0.3	39358000
10	400	0.35	39980000
10	400	0.4	41120000
10	400	0.45	40196000
10	400	0.5	42142000
