fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20240403 220931	-0.105579231315642	2004	986	12	5	50019000	1
20240403 220943	-0.180137336287589	6035	1406	11	5	48594000	2
20240403 220955	-0.962398858490633	3945	1944	15	5	47424000	3
20240403 221006	-0.864498186360288	7438	1116	9	5	48594000	4
20240403 221018	-0.245517494162777	4382	1545	13	5	46593000	5
20240403 221032	-0.670654473350442	5676	386	20	5	49266000	6
20240403 221040	0.0743689543669461	7683	3023	7	5	0	7
20240403 221048	-0.492591227445519	2692	48	4	5	47442000	8
20240403 221058	-0.279728265089216	4043	1565	6	5	46908000	9
20240403 221111	-0.607576543174218	6429	982	15	5	48594000	10
20240403 221120	0.0308027391234647	7571	2139	10	5	0	11
20240403 221136	-0.96274418515095	796	209	19	5	47334000	12
20240403 221151	-0.87235342055792	2497	440	16	5	49407000	13
20240403 221200	-0.0830881410394795	7694	2734	6	5	48609000	14
20240403 221212	-0.234990888903849	5535	1771	9	5	48294000	15
20240403 221225	-0.785461594397202	7119	1066	11	5	48594000	16
20240403 221233	-0.153548327086364	6231	2761	3	5	48609000	17
20240403 221242	-0.154413800016549	1198	413	3	5	49581000	18
20240403 221251	-0.126212358167654	7992	755	3	5	48609000	19
20240403 221300	-0.697161761772075	1727	806	3	5	49614000	20
20240403 221309	-0.617628652608715	340	167	3	5	49386000	21
20240403 221319	-0.755969177906293	3439	5	5	5	46728000	22
20240403 221333	-0.703419052031801	3395	1690	20	5	47301000	23
20240403 221355	-0.114458039642947	2615	4	20	5	44181000	24
20240403 221408	-0.118545799510733	7730	2752	20	5	48609000	25
20240403 221417	-0.130026890767292	3384	1690	3	5	47343000	26
20240403 221427	-0.108584063134393	7984	3534	5	5	48609000	27
20240403 221436	-0.650688877006886	7706	556	3	5	48609000	28
20240403 221445	-0.208245709169723	1902	872	3	5	49632000	29
20240403 221500	-0.911723646280668	2261	1121	20	5	49896000	30
20240403 221516	-0.82731146127833	2199	1087	20	5	49968000	31
20240403 221533	-0.561943318606825	910	450	19	5	49119000	32
20240403 221542	-0.535753697162305	2352	1171	3	5	48528000	33
20240403 221601	-0.645541131950313	1379	686	13	5	50322000	34
20240403 221610	-0.928003559478138	1732	864	3	5	49545000	35
20240403 221622	-0.825131516704881	3699	1846	6	5	47412000	36
20240403 221631	-0.404846150967532	7665	850	3	5	48609000	37
20240403 221641	-0.431423924098579	7554	2095	6	5	48273000	38
20240403 221656	-0.454464426991477	2143	1052	20	5	50004000	39
20240403 221710	-0.484091516864646	7992	885	16	5	48594000	40
20240403 221727	-0.151745273268525	1749	873	9	5	50574000	41
20240403 221744	-0.38237500958391	870	433	15	5	50094000	42
20240403 221800	-0.433360492510605	1354	674	9	5	50880000	43
20240403 221812	-0.329884930965226	7991	2841	9	5	48609000	44
20240403 221826	-0.377365495074539	4052	2019	20	5	47346000	45
20240403 221842	-0.428295960363611	5164	367	20	5	48777000	46
20240403 221855	-0.497601559266553	5885	2941	18	5	48609000	47
20240403 221908	-0.419818486762659	7493	3744	11	5	48609000	48
20240403 221917	-0.570170003818445	7305	3632	3	5	48609000	49
20240403 221930	-0.626945049914579	5296	2648	3	5	48756000	50
20240403 221943	-0.653298924936619	7990	3537	20	5	48609000	51
20240403 222005	-0.733840724897113	6822	3398	3	5	48609000	52
20240403 222018	-0.854839474975642	6658	3321	20	5	48609000	53
20240403 222027	-0.353967883236772	13	4	3	5	45048000	54
20240403 222046	-0.425991322431816	12	6	15	5	30141000	55
20240403 222056	0.0998037707097632	1620	806	15	5	0	56
20240403 222107	-0.351785358155748	3358	571	7	5	47061000	57
20240403 222116	-0.497675049058905	3201	522	3	5	47343000	58
20240403 222131	-0.396972462885726	5262	779	20	5	48105000	59
20240403 222143	-0.385275303732324	2072	1026	8	5	49869000	60
20240403 222200	-0.295805931520263	1443	718	20	5	50493000	61
20240403 222212	-0.446480269000916	7979	491	8	5	48594000	62
20240403 222227	-0.269435106537553	759	374	11	5	49374000	63
20240403 222237	-0.364336791488328	1125	495	3	5	49902000	64
20240403 222249	-0.260281701979258	7416	3514	8	5	48609000	65
20240403 222300	-0.559992889741801	5849	3	6	5	47955000	66
